№,Секунда,Микросекунда
1,59,185371
2,59,196621
3,59,207080
4,59,217300
5,59,227638
6,59,238031
7,59,248215
8,59,258694
9,59,268982
10,59,279283
11,59,289698
12,59,300137
13,59,310512
14,59,320882
15,59,331221
16,59,341341
17,59,351583
18,59,361861
19,59,372094
20,59,382396
21,59,392712
22,59,402779
23,59,412952
24,59,423307
25,59,433633
26,59,443849
27,59,454134
28,59,464194
29,59,474420
30,59,484572
31,59,494767
32,59,505307
33,59,515387
34,59,525558
35,59,536064
36,59,546569
37,59,557059
38,59,567388
39,59,577742
40,59,588149
41,59,598204
42,59,608754
43,59,619099
44,59,629511
45,59,639930
46,59,650321
47,59,660595
48,59,670852
49,59,681029
50,59,691344
51,59,701693
52,59,712106
53,59,722904
54,59,733370
55,59,743871
56,59,754360
57,59,764561
58,59,774896
59,59,785344
60,59,795593
61,59,805883
62,59,816292
63,59,826614
64,59,836721
65,59,846947
66,59,857193
67,59,867321
68,59,877901
69,59,888324
70,59,898407
71,59,908834
72,59,919036
73,59,929542
74,59,940110
75,59,950281
76,59,960669
77,59,971188
78,59,981273
79,59,991781
80,0,1856
81,0,12244
82,0,22675
83,0,32978
84,0,43068
85,0,53400
86,0,63836
87,0,74285
88,0,84580
89,0,94853
90,0,105396
91,0,115695
92,0,126191
93,0,136477
94,0,146848
95,0,157279
96,0,167434
97,0,177827
98,0,188319
99,0,198752
100,0,209132
101,0,219457
102,0,229676
103,0,239951
104,0,250281
105,0,260498
106,0,270602
107,0,280782
108,0,291006
109,0,301189
110,0,311559
111,0,321819
112,0,332180
113,0,342523
114,0,352675
115,0,362924
116,0,373448
117,0,383914
118,0,394458
119,0,404745
120,0,415298
121,0,425673
122,0,435952
123,0,446138
124,0,456476
125,0,466894
126,0,477338
127,0,487441
128,0,497701
129,0,508086
130,0,518173
131,0,528449
132,0,538558
133,0,548809
134,0,559176
135,0,569303
136,0,579758
137,0,589927
138,0,600479
139,0,610898
140,0,621424
141,0,631953
142,0,642372
143,0,652753
144,0,663052
145,0,673495
146,0,683970
147,0,694428
148,0,704622
149,0,714874
150,0,724924
151,0,735152
152,0,745435
153,0,755628
154,0,765736
155,0,775897
156,0,786189
157,0,796659
158,0,807012
159,0,817424
160,0,827583
161,0,837887
162,0,848245
163,0,858372
164,0,868573
165,0,879080
166,0,889586
167,0,899719
168,0,909952
169,0,920289
170,0,930518
171,0,940699
172,0,950931
173,0,961468
174,0,971930
175,0,982229
176,0,992648
177,1,2976
178,1,13435
179,1,23509
180,1,33619
181,1,43991
182,1,54043
183,1,64388
184,1,74630
185,1,85133
186,1,95254
187,1,105443
188,1,115814
189,1,126231
190,1,136527
191,1,147050
192,1,157351
193,1,167688
194,1,177932
195,1,188105
196,1,198345
197,1,208686
198,1,219006
199,1,229295
200,1,239673
201,1,249847
202,1,260038
203,1,270343
204,1,280706
205,1,290906
206,1,301009
207,1,311329
208,1,321734
209,1,332209
210,1,342478
211,1,352670
212,1,363017
213,1,373277
214,1,383516
215,1,393803
216,1,403987
217,1,414196
218,1,424681
219,1,434965
220,1,445380
221,1,455766
222,1,465942
223,1,476213
224,1,486463
225,1,496646
226,1,506840
227,1,517004
228,1,527465
229,1,537657
230,1,547885
231,1,558357
232,1,568615
233,1,578988
234,1,589079
235,1,599937
236,1,610240
237,1,620643
238,1,630802
239,1,641278
240,1,651679
241,1,662016
242,1,672128
243,1,682513
244,1,693099
245,1,703373
246,1,713550
247,1,723705
248,1,733803
249,1,744125
250,1,754376
251,1,764809
252,1,775110
253,1,785586
254,1,795816
255,1,806040
256,1,816524
257,1,826988
258,1,837449
259,1,847556
260,1,858049
261,1,868214
262,1,878380
263,1,888729
264,1,898926
265,1,909356
266,1,919800
267,1,929982
268,1,940521
269,1,950697
270,1,960782
271,1,971060
272,1,981469
273,1,991864
274,2,2403
275,2,12522
276,2,22705
277,2,32938
278,2,43090
279,2,53425
280,2,63585
281,2,74130
282,2,84438
283,2,94929
284,2,105078
285,2,115450
286,2,125892
287,2,136073
288,2,146352
289,2,156539
290,2,166626
291,2,177161
292,2,187245
293,2,197620
294,2,207822
295,2,217879
296,2,228348
297,2,238604
298,2,249224
299,2,259767
300,2,270064
